,Unnamed: 0,Name,Type,Studio,Genres
154,154,Shingeki no Kyojin: Kuinaki Sentaku,OVA,['Wit Studio'],['Action']
155,155,Sono Bisque Doll wa Koi wo Suru,TV,['CloverWorks'],"['Romance', 'Slice of Life']"
156,156,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,['Kyoto Animation'],"['Drama', 'Fantasy', 'Slice of Life']"
157,157,Kara no Kyoukai 7: Satsujin Kousatsu (Go),Movie,['ufotable'],"['Action', 'Mystery', 'Romance', 'Supernatural', 'Suspense']"
158,158,Kaze ga Tsuyoku Fuiteiru,TV,['Production I.G'],"['Drama', 'Sports']"
159,159,3-gatsu no Lion,TV,['Shaft'],"['Drama', 'Slice of Life']"
160,160,Chihayafuru 2,TV,['Madhouse'],"['Drama', 'Slice of Life', 'Sports']"
161,161,Cross Game,TV,['SynergySP'],"['Drama', 'Romance', 'Sports']"
162,162,Gintama°: Aizome Kaori-hen,OVA,['Bandai Namco Pictures'],['Comedy']
163,163,Houseki no Kuni (TV),TV,['Orange'],"['Action', 'Drama', 'Fantasy', 'Mystery']"
164,164,Hunter x Hunter,TV,['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']"
165,165,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,['A-1 Pictures'],['Comedy']
166,166,Natsume Yuujinchou Roku Specials,Special,['Shuka'],"['Drama', 'Slice of Life', 'Supernatural']"
167,167,Non Non Biyori Nonstop,TV,['SILVER LINK.'],"['Comedy', 'Slice of Life']"
168,168,Tensei shitara Slime Datta Ken 2nd Season,TV,['8bit'],"['Action', 'Adventure', 'Comedy', 'Fantasy']"
169,169,Tian Guan Ci Fu,ONA,['Haoliners Animation League'],"['Action', 'Adventure', 'Drama', 'Supernatural']"
170,170,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,['feel.'],"['Comedy', 'Drama', 'Romance', 'Slice of Life']"
171,171,Barakamon,TV,['Kinema Citrus'],"['Comedy', 'Slice of Life']"
172,172,Fumetsu no Anata e,TV,"[""Brain's Base""]","['Adventure', 'Drama', 'Supernatural']"
