,anime,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5
402,Dog & Scissors,91,358,3.93,7,8,14,17,45
403,GTO - The Animation,90,442,4.91,1,0,1,2,86
404,Dog Days,90,387,4.3,6,4,7,13,60
405,Death Note (Drama),90,379,4.21,7,2,5,27,49
406,Ulysses: Jeanne d'Arc and the Alchemist Knight,90,190,2.11,46,19,8,3,14
407,Mr. Osomatsu,89,419,4.71,3,2,1,6,77
408,One Week Friends,89,416,4.67,1,0,6,13,69
409,"Love, Chunibyo & Other Delusions - Heart Throb -",89,404,4.54,1,2,9,13,64
410,When Supernatural Battles Became Commonplace,89,370,4.16,6,1,15,18,49
411,PERSONA5 the Animation,89,351,3.94,7,8,12,18,44
412,FLIP FLAPPERS,88,417,4.74,1,1,3,10,73
413,Keep Your Hands Off Eizouken!,88,413,4.69,2,3,3,4,76
414,We Never Learn: BOKUBEN,87,397,4.56,0,0,12,14,61
415,Interlude,87,362,4.16,3,5,11,24,44
416,Love is Like a Cocktail,87,358,4.11,4,3,10,32,38
417,Fate/kaleid liner PRISMA ILLYA,87,356,4.09,10,4,6,15,52
418,Majestic Prince,87,354,4.07,5,6,11,21,44
419,Hitori No Shita - The Outcast,87,340,3.91,9,6,12,17,43
420,School Babysitters,86,413,4.8,1,1,2,6,76
421,Aoharu x Machinegun,86,383,4.45,2,3,8,14,59
422,Orenchi no Furo Jijo,86,374,4.35,1,5,6,25,49
423,The Kawai Complex Guide to Manors and Hostel Behavior,85,390,4.59,2,1,5,14,63
424,In/Spectre,85,327,3.85,4,15,11,15,40
425,BLACKFOX,85,322,3.79,6,10,15,19,35
426,Naked Wolves,85,221,2.6,44,2,9,4,26
427,Barakamon,84,407,4.85,0,0,1,11,72
428,Nobunaga Concerto,84,402,4.79,1,1,1,9,72
429,PandoraHearts,84,378,4.5,1,1,8,19,55
430,Blood Blockade Battlefront,83,383,4.61,2,3,3,9,66
431,Is the Order a Rabbit?,82,388,4.73,0,0,4,14,64
432,Golden Kamuy,82,384,4.68,2,0,3,12,65
433,Os Cavaleiros do Zodíaco - Saintia Sho,82,310,3.78,16,1,11,11,43
434,Servant x Service,81,381,4.7,0,1,4,13,63
435,Hakata Tonkotsu Ramens,81,379,4.68,1,0,3,16,61
436,Steins;Gate 0,81,375,4.63,3,3,4,1,70
437,Kyousougiga,80,382,4.78,0,1,3,9,67
438,Magical Sempai,80,340,4.25,7,2,6,14,51
439,"Actually, I Am",80,336,4.2,3,4,10,20,43
440,AKB0048,78,365,4.68,2,1,4,6,65
441,Senyu.,78,339,4.35,4,2,6,17,49
442,Jingai-san no Yome,78,268,3.44,12,16,9,8,33
443,Cardcaptor Sakura,77,367,4.77,1,1,2,7,66
444,Sarazanmai,77,342,4.44,6,2,3,7,59
445,Outbreak Company,77,340,4.42,0,5,6,18,48
446,Little Busters!,77,338,4.39,4,4,2,15,52
447,GRANBLUE FANTASY: The Animation,77,296,3.84,5,6,17,17,32
448,She and Her Cat -Everything Flows-,76,355,4.67,1,1,4,10,60
449,Sakura Trick,76,340,4.47,1,5,3,15,52
450,The Comic Artist and His Assistants,76,329,4.33,0,2,9,27,38
451,Elegant Yokai Apartment Life,76,314,4.13,3,5,11,17,40
452,SPACE PATROL LULUCO,75,345,4.6,0,1,4,19,51
453,Nobunaga the Fool,75,249,3.32,12,13,10,19,21
454,Broken Blade,74,340,4.59,0,3,6,9,56
455,The Royal Tutor,74,337,4.55,0,1,7,16,50
456,The Perfect Insider,74,287,3.88,6,7,8,22,31
457,The Helpful Fox Senko-san,73,352,4.82,1,1,1,4,66
458,Mischievous Kiss - Love in Tokyo,73,329,4.51,2,1,4,17,49
459,YUKI YUNA IS A HERO,73,320,4.38,1,3,11,10,48
460,ISLAND,73,253,3.47,12,9,14,9,29
461,A Centaur's Life,73,242,3.32,9,14,10,25,15
462,THE UNLIMITED Hyobu Kyosuke,72,341,4.74,0,0,4,11,57
463,Engaged to the Unidentified,72,315,4.38,0,4,8,17,43
464,"Why the hell are you here, Teacher!?",72,285,3.96,9,3,7,16,37
465,Vividred Operation,72,229,3.18,12,11,19,12,18
466,Hinomaru Sumo,71,335,4.72,1,4,1,2,63
467,Legend of the Galactic Heroes: Die Neue These,71,314,4.42,3,4,5,7,52
468,KanColle,71,284,4.0,5,5,11,14,36
469,World Conquest Zvezda Plot,70,295,4.21,1,6,7,19,37
470,DEVIL SURVIVOR 2 THE ANIMATION,70,267,3.81,4,8,14,15,29
471,Mushibugyo,69,311,4.51,0,3,5,15,46
472,Kemono Friends,69,300,4.35,4,4,4,9,48
473,ARGEVOLLEN,69,224,3.25,8,11,21,14,15
474,Dies irae,69,191,2.77,21,17,6,7,18
475,Hozuki's Coolheadedness,68,320,4.71,1,0,3,10,54
476,Kaiji,68,318,4.68,3,0,2,6,57
477,BONJOUR♪Sweet Love Patisserie,68,231,3.4,2,11,23,22,10
478,JOKER GAME,67,292,4.36,1,2,6,21,37
479,Netsuzou Trap -NTR-,67,204,3.04,23,5,7,10,22
480,EVIL OR LIVE,67,191,2.85,20,9,13,11,14
481,Cerberus,67,156,2.33,21,26,8,1,11
482,Bananya,66,301,4.56,3,2,2,7,52
483,Sin The Movie,66,257,3.89,7,4,9,15,31
484,Utawarerumono The False Faces,66,225,3.41,5,14,16,11,20
485,Cardcaptor Sakura: Clear Card,65,299,4.6,2,3,2,5,53
486,DENKI-GAI,65,294,4.52,2,1,2,16,44
487,Please tell me! Galko-chan,65,285,4.38,0,1,6,25,33
488,Nanana's Buried Treasure,65,280,4.31,0,5,7,16,37
489,OneRoom,65,178,2.74,19,12,13,9,12
490,Triage X,64,207,3.23,11,11,9,18,15
491,Sabagebu!,63,295,4.68,0,0,3,14,46
492,ACCA: 13-Territory Inspection Dept.,63,292,4.63,0,2,3,11,47
493,Amagi Brilliant Park,63,288,4.57,0,2,3,15,43
494,AOKANA: Four Rhythm Across the Blue,63,241,3.83,6,7,7,15,28
495,Persona4 the Golden ANIMATION,63,236,3.75,5,8,8,19,23
496,Chain Chronicle - The Light of Haecceitas -,63,213,3.38,12,7,10,13,21
497,Skull-face Bookseller Honda-san,62,286,4.61,0,1,5,11,45
498,Nobunagun,62,282,4.55,1,1,4,13,43
499,Occultic;Nine,62,228,3.68,7,9,9,9,28
500,Super Sonico - The Animation,62,208,3.35,12,8,10,10,22
501,Sakura Quest,61,281,4.61,0,2,5,8,46
502,Umamusume: Pretty Derby,61,275,4.51,1,1,4,15,40
503,Magical Girl Ore,61,265,4.34,1,4,6,12,38
504,HANEBADO!,61,237,3.89,3,7,10,15,26
505,Junji Ito Collection,61,222,3.64,8,4,12,15,22
506,Himegoto,61,219,3.59,10,3,12,13,23
507,Rail Wars!,61,214,3.51,9,7,10,14,21
508,Boogiepop and Others,60,253,4.22,4,8,3,1,44
509,Os Cavaleiros do Zodíaco - Alma de Ouro,60,251,4.18,4,5,3,12,36
510,To the Abandoned Sacred Beasts,60,207,3.45,8,5,12,22,13
511,The Morose Mononokean,59,260,4.41,0,2,6,17,34
512,Qualidea Code,59,206,3.49,7,8,12,13,19
513,makuranodanshi,59,194,3.29,7,12,12,13,15
514,Clockwork Planet,59,186,3.15,8,12,16,9,14
515,SENGOKU NIGHT BLOOD,59,171,2.9,19,6,8,14,12
516,Somali and the Forest Spirit,58,278,4.79,1,0,2,4,51
517,The Eccentric Family,58,271,4.67,0,3,1,8,46
518,Gugure! Kokkuri-san,58,264,4.55,0,2,3,14,39
519,Yu-Gi-Oh! VRAINS,58,242,4.17,9,1,3,3,42
520,Phantasy Star Online 2 The Animation,58,198,3.41,8,9,11,11,19
521,ISUCA,58,171,2.95,9,17,11,10,11
522,HaNaYaMaTa,57,261,4.58,1,0,4,12,40
523,MYSTERIA Friends,57,203,3.56,6,11,7,11,22
524,BBK/BRNK,57,178,3.12,9,15,8,10,15
525,Happy Boys,56,275,4.91,0,0,0,5,51
526,Monogatari S2,56,274,4.89,0,1,0,3,52
527,DAYS,56,242,4.32,2,1,8,11,34
528,Rewrite,56,197,3.52,7,7,9,16,17
529,Hitoribocchi no Marumaruseikatsu,55,262,4.76,0,1,2,6,46
530,Wakakozake,55,261,4.75,0,0,4,6,45
531,Love Lab,55,252,4.58,2,1,0,12,40
532,Yurumates3Dei,55,239,4.35,0,4,8,8,35
533,GJ CLUB,55,238,4.33,1,1,10,10,33
534,Classroom☆Crisis,55,236,4.29,1,3,7,12,32
535,Kenka Bancho Otome -Girl Beats Boys-,55,207,3.76,3,7,12,11,22
536,Wizard Barristers,55,182,3.31,5,10,16,11,13
537,The Price of Smiles,55,166,3.02,12,11,9,10,13
538,KONOHANA KITAN,54,246,4.56,1,3,2,7,41
539,Gingitsune: Messenger Fox of the Gods,54,243,4.5,2,0,2,15,35
540,Inferno Cop,54,237,4.39,2,3,5,6,38
541,The Highschool Life of a Fudanshi,54,200,3.7,3,6,13,14,18
542,Lance N' Masques,54,158,2.93,17,5,10,9,13
543,Alice & Zoroku,53,234,4.42,1,3,3,12,34
544,To Be Heroine,53,231,4.36,6,0,2,6,39
545,Captain Earth,53,181,3.42,5,10,11,12,15
546,Walkure Romanze,53,178,3.36,5,12,11,9,16
547,Poco's Udon World,52,249,4.79,0,0,2,7,43
548,ISEKAI QUARTET,52,239,4.6,1,2,3,5,41
549,Ao-chan Can't Study!,52,237,4.56,0,0,4,15,33
550,SSSS.GRIDMAN,52,218,4.19,2,4,7,8,31
551,The Ryuo's Work is Never Done!,52,195,3.75,8,3,5,14,22
552,"Diabolik Lovers II MORE,BLOOD",52,184,3.54,10,3,11,5,23
553,Arata the Legend,52,176,3.38,6,9,11,11,15
554,Comet Lucifer,52,149,2.87,7,18,12,5,10
555,Active Raid,52,141,2.71,16,9,5,18,4
556,Dai-Shogun - Great Revolution,52,120,2.31,21,9,11,7,4
557,WWW.Working!!,51,204,4.0,2,3,7,20,19
558,Are You Lost?,51,199,3.9,3,4,9,14,21
559,Kanojo ga Flag wo Oraretara (If Her Flag Breaks),51,175,3.43,4,8,14,12,13
560,Gakuen Handsome,50,225,4.5,5,0,2,1,42
561,Toriko,50,221,4.42,1,4,3,7,35
562,The Pilot's Love Song,50,214,4.28,1,3,5,13,28
563,Makai Ouji: Devils and Realist,50,204,4.08,2,2,11,10,25
564,As Miss Beelzebub Likes it.,50,198,3.96,4,3,11,5,27
565,Ms. Koizumi-san Loves Ramen Noodles,50,167,3.34,3,12,10,15,10
566,Kamisama Hajimemashita,49,240,4.9,0,0,1,3,45
567,Ghost Stories,49,233,4.76,0,1,2,5,41
568,Gourmet Girl Graffiti,49,221,4.51,0,1,6,9,33
569,INVADERS of the ROKUJYOMA!?,49,217,4.43,0,2,3,16,28
570,Kabaneri of the Iron Fortress,49,203,4.14,3,1,6,15,24
571,Tsugumomo,49,201,4.1,3,5,4,9,28
572,Break Ups,49,200,4.08,3,2,5,17,22
573,Japanese Anime Classic Collection,49,194,3.96,8,1,5,6,29
